1964 US Presidential Election,Goldwater,Johnson,Unpledged,
AL,479085,0,210732,
AK,22930,44329,0,
AZ,242535,237753,0,
AR,243264,314197,0,
CA,2879108,4171877,0,
CO,296767,476024,0,
CT,390996,826269,0,
DE,78078,122704,0,
DC,28801,169796,0,
FL,905941,948540,0,
GA,616584,522557,0,
HI,44022,163249,0,
ID,143557,148920,0,
IL,1905946,2796833,0,
IN,911118,1170848,0,
IA,449148,733030,0,
KS,386579,464028,0,
KY,372977,669659,0,
LA,509225,387068,0,
ME,118701,262264,0,
MD,385495,730912,0,
MA,549727,1786422,0,
MI,1060152,2136615,0,
MN,559624,991117,0,
MS,356528,52618,0,
MO,653535,1164344,0,
MT,113032,164246,0,
NE,276847,307307,0,
NV,56094,79339,0,
NH,104029,182065,0,
NJ,963843,1867671,0,
NM,131838,194017,0,
NY,2243559,4913156,0,
NC,624844,800139,0,
ND,108207,149784,0,
OH,1470865,2498331,0,
OK,412665,519834,0,
OR,282779,501017,0,
PA,1673657,3130954,0,
RI,74615,315463,0,
SC,309048,215700,0,
SD,130108,163010,0,
TN,508965,634947,0,
TX,958566,1663185,0,
UT,180682,219628,0,
VT,54942,108127,0,
VA,481334,558038,0,
WA,470366,779881,0,
WV,253953,538087,0,
WI,638495,1050424,0,
WY,61998,80718,0,
