1968 US Presidential Election,Nixon,Humphrey,Wallace,
AL,146923,196579,691425,
AK,37600,35411,10024,
AZ,266721,170514,46573,
AR,189062,184901,235627,
CA,3467664,3244318,487270,
CO,409345,335174,60813,
CT,556721,621561,76650,
DE,96714,89194,28459,
DC,31012,139566,0,
FL,886804,676794,624207,
GA,380111,334440,535550,
HI,91425,141324,3469,
ID,165369,89273,36541,
IL,2174774,2039814,390958,
IN,1067885,806659,243108,
IA,619106,476699,66422,
KS,478674,302996,88921,
KY,462411,397541,193098,
LA,257535,309615,530300,
ME,169254,217312,6370,
MD,517995,538310,178734,
MA,766844,1469218,87088,
MI,1370665,1593082,331968,
MN,658643,857738,68931,
MS,88516,150644,415349,
MO,811932,791444,206126,
MT,138835,114117,20015,
NE,321163,170784,44904,
NV,73188,60598,20432,
NH,154903,130589,11173,
NJ,1325467,1264206,262187,
NM,169692,130081,25737,
NY,3007932,3378470,358864,
NC,627192,464113,496188,
ND,138669,94769,14244,
OH,1791014,1700586,467495,
OK,449697,301658,191731,
OR,408433,358866,49683,
PA,2090017,2259405,378582,
RI,122359,246518,15678,
SC,254062,197486,215430,
SD,149841,118023,13400,
TN,472592,351233,424792,
TX,1227844,1266804,584269,
UT,238728,156665,26906,
VT,85142,70255,5104,
VA,590319,442387,321833,
WA,588510,616037,96990,
WV,307555,374091,72560,
WI,809997,748804,127835,
WY,70927,45173,11105,
