1972 US Presidential Election,Nixon,McGovern,Other,
AL,728701,256923,20469,
AK,55349,32967,6903,
AZ,402812,198540,52153,
AR,445751,198899,3016,
CA,4602096,3475847,289919,
CO,597189,329980,26715,
CT,810763,555498,18016,
DE,140357,92283,2876,
DC,35226,127627,568,
FL,1857759,718117,7407,
GA,881496,289529,3747,
HI,168865,101409,0,
ID,199384,80826,30169,
IL,2788179,1913472,21585,
IN,1405154,708568,11807,
IA,706207,496206,23531,
KS,619812,270287,25996,
KY,676446,371159,19894,
LA,686852,298142,66497,
ME,256458,160584,229,
MD,829305,505781,18726,
MA,1112078,1332540,14138,
MI,1961721,1459435,69169,
MN,898269,802346,41037,
MS,505125,126782,14056,
MO,1154058,698531,0,
MT,183976,120197,13430,
NE,406298,169991,0,
NV,115750,66016,0,
NH,213724,116435,3896,
NJ,1845502,1102211,49516,
NM,235606,141084,9241,
NY,4192778,2951084,17968,
NC,1054889,438705,25018,
ND,174109,100384,6021,
OH,2441827,1558889,94071,
OK,759025,247147,23728,
OR,486686,392760,48500,
PA,2714521,1796951,80633,
RI,220383,194645,780,
SC,478427,189270,10183,
SD,166476,139945,994,
TN,813147,357293,30742,
TX,2298896,1154291,19527,
UT,323643,126284,28549,
VT,117149,68174,1624,
VA,988493,438887,29639,
WA,837135,568334,65378,
WV,484964,277435,0,
WI,989430,810174,53286,
WY,100464,44358,748,
