1976 US Presidential Election,Ford,Carter,Other,
AL,504070,659170,19610,
AK,71555,44058,7961,
AZ,418642,295602,28475,
AR,268753,499614,1029,
CA,3882244,3742284,242589,
CO,584367,460353,36415,
CT,719261,647895,14370,
DE,109831,122596,3407,
DC,27873,137818,3139,
FL,1469531,1636000,45100,
GA,483743,979409,4306,
HI,140003,147375,3923,
ID,204151,126549,10232,
IL,2364269,2271295,83269,
IN,1183958,1014714,21690,
IA,632863,619931,26512,
KS,502752,430421,24672,
KY,531852,615717,19573,
LA,587446,661365,29628,
ME,236320,232279,14609,
MD,672661,759612,0,
MA,1030276,1429475,87806,
MI,1893742,1696714,63293,
MN,819395,1070440,60096,
MS,366846,381309,21205,
MO,927443,998387,27770,
MT,173703,149259,5772,
NE,359705,233692,14271,
NV,101273,92479,8124,
NH,185935,147635,6048,
NJ,1509688,1444653,60131,
NM,211419,201148,4023,
NY,3100791,3389558,34876,
NC,741960,927365,8581,
ND,153470,136078,7546,
OH,2000505,2011621,99747,
OK,545708,532442,14101,
OR,492120,490407,47349,
PA,2205604,2328677,86506,
RI,181249,227636,2285,
SC,346140,450825,5629,
SD,151505,147068,2105,
TN,633969,825879,16498,
TX,1953300,2082319,36265,
UT,337908,182110,21180,
VT,102085,81044,4726,
VA,836554,813896,46644,
WA,777732,717323,60479,
WV,314760,435914,0,
WI,1004987,1040232,56117,
WY,92717,62239,1387,
