1980 US Presidential Election,Reagan,Carter,Anderson,
AL,654192,636730,16481,
AK,86112,41842,11155,
AZ,529688,246843,76952,
AR,403164,398041,22468,
CA,4524858,3083661,739833,
CO,652264,367973,130633,
CT,677210,541732,171807,
DE,111252,105754,16288,
DC,23313,130231,16131,
FL,2046951,1419475,189692,
GA,654168,890733,36055,
HI,130112,135879,32021,
ID,290699,110192,27058,
IL,2358049,1981413,346754,
IN,1255656,844197,111639,
IA,676026,508672,115633,
KS,566812,326150,68231,
KY,635274,616417,31127,
LA,792853,708453,26345,
ME,238522,220974,53327,
MD,680606,726161,119537,
MA,1057631,1053802,382539,
MI,1915225,1661532,275223,
MN,873241,954174,174990,
MS,441089,429281,12036,
MO,1074181,931182,77920,
MT,206814,118032,29281,
NE,419937,166851,44993,
NV,155017,66666,17651,
NH,221705,108864,49693,
NJ,1546557,1147364,234632,
NM,250779,167826,29459,
NY,2893831,2728372,467801,
NC,915018,875635,52800,
ND,193695,79189,23640,
OH,2206545,1752414,254472,
OK,695570,402026,38284,
OR,571044,456890,112389,
PA,2261872,1937540,292921,
RI,154793,198342,59819,
SC,441207,427560,14150,
SD,198343,103855,21431,
TN,787761,783051,35991,
TX,2510705,1881147,111613,
UT,439687,124266,30284,
VT,94598,81891,31760,
VA,989609,752174,95418,
WA,865244,650193,185073,
WV,334206,367462,31691,
WI,1088845,981584,160657,
WY,110700,49427,12072,
