1984 US Presidential Election,Reagan,Mondale,Other,
AL,872849,551899,16965,
AK,138377,62007,7221,
AZ,681416,333854,10627,
AR,534774,338646,10986,
CA,5467009,3922519,115895,
CO,821818,454974,18589,
CT,890877,569597,6426,
DE,152190,101656,726,
DC,29009,180408,1871,
FL,2730350,1448816,885,
GA,1068722,706628,743,
HI,185050,147154,3642,
ID,297523,108510,5111,
IL,2707103,2086499,25486,
IN,1377230,841481,14358,
IA,703088,605620,11097,
KS,677296,333149,11546,
KY,822782,539589,8090,
LA,1037299,651586,17937,
ME,336500,214515,2129,
MD,879918,787935,8020,
MA,1310936,1239606,8911,
MI,2251571,1529638,20449,
MN,1032603,1036364,15482,
MS,581477,352192,6523,
MO,1274188,848583,0,
MT,232450,146742,5185,
NE,460054,187866,4170,
NV,188770,91655,6242,
NH,267051,120395,1508,
NJ,1933630,1261323,22909,
NM,307101,201769,5500,
NY,3664763,3119609,22438,
NC,1346481,824287,4593,
ND,200336,104429,4206,
OH,2678560,1825440,43619,
OK,861530,385080,9066,
OR,685700,536479,4348,
PA,2584323,2228131,32449,
RI,212080,197106,1306,
SC,615539,344470,8531,
SD,200267,116113,1487,
TN,990212,711714,10067,
TX,3433428,1949276,14867,
UT,469105,155369,5182,
VT,135865,95730,2966,
VA,1337078,796250,13307,
WA,1051670,807352,24888,
WV,405483,328125,2134,
WI,1198800,995847,17369,
WY,133241,53370,2357,
