1988 US Presidential Election,Bush,Dukakis,Other,
AL,815576,549506,13394,
AK,119251,72584,8281,
AZ,702541,454029,15303,
AR,466578,349237,11923,
CA,5054917,4702233,129914,
CO,728177,621453,22764,
CT,750241,676584,16569,
DE,139639,108647,1605,
DC,27590,159407,5880,
FL,2618885,1656701,26727,
GA,1081331,714792,13549,
HI,158625,192364,3472,
ID,253881,147272,7815,
IL,2310939,2215940,32241,
IN,1297763,860643,10215,
IA,545355,670557,9702,
KS,554049,422636,16359,
KY,734281,580368,7868,
LA,883702,717460,27040,
ME,307131,243569,4335,
MD,876167,826304,11887,
MA,1194644,1401406,36755,
MI,1965486,1675783,27894,
MN,962337,1109471,24982,
MS,557890,363921,9716,
MO,1084953,1001619,6656,
MT,190412,168936,6326,
NE,398447,259646,4279,
NV,206040,132738,11289,
NH,281537,163696,5292,
NJ,1743192,1320352,36009,
NM,270341,244497,6449,
NY,3081871,3347882,55930,
NC,1237258,890167,6945,
ND,166559,127739,2963,
OH,2416549,1939629,37521,
OK,678367,483423,9246,
OR,560126,616206,25362,
PA,2300087,2194944,41220,
RI,177761,225123,1736,
SC,606443,370554,9012,
SD,165415,145560,2016,
TN,947233,679794,9223,
TX,3036829,2352748,37833,
UT,428442,207343,11223,
VT,124331,115775,3227,
VA,1309162,859799,22648,
WA,903835,933516,27902,
WV,310065,341016,2230,
WI,1047499,1126794,17315,
WY,106867,67113,2571,
