1992 US Presidential Election,Bush,Clinton,Perot,
AL,804283,690080,183109,
AK,102000,78294,73481,
AZ,572086,543050,353741,
AR,337324,505823,99132,
CA,3630574,5121325,2296006,
CO,562850,629681,366010,
CT,578313,682318,348771,
DE,102313,126054,59213,
DC,20698,192619,9681,
FL,2173310,2072698,1053067,
GA,995252,1008966,309657,
HI,136822,179310,53003,
ID,202645,137013,130395,
IL,1734096,2453350,840515,
IN,989375,848420,455934,
IA,504891,586353,253468,
KS,449951,390434,312358,
KY,617178,665104,203944,
LA,733386,815971,211478,
ME,206504,263420,206820,
MD,707094,988571,281414,
MA,805049,1318662,632312,
MI,1554940,1871182,824813,
MN,747841,1020997,562506,
MS,487793,400258,85626,
MO,811159,1053873,518741,
MT,144207,154507,107225,
NE,344346,217344,174687,
NV,175828,189148,132580,
NH,202484,209040,121337,
NJ,1356865,1436206,521829,
NM,212824,261617,91895,
NY,2346649,3444450,1090721,
NC,1134661,1114042,357864,
ND,136244,99168,71084,
OH,1894310,1984942,1036426,
OK,592929,473066,319878,
OR,475757,621314,354091,
PA,1791841,2239164,902667,
RI,131601,213299,105045,
SC,577507,479514,138872,
SD,136718,124888,73295,
TN,841300,933521,199968,
TX,2496071,2281815,1354781,
UT,322632,183429,203400,
VT,88122,133592,65991,
VA,1150517,1038650,348639,
WA,731234,993037,541780,
WV,241974,331001,108829,
WI,930855,1041066,544479,
WY,79347,68160,51263,
