1996 US Presidential Election,Dole,Clinton,Perot,
AL,769044,662165,92149,
AK,122746,80380,26333,
AZ,622073,653288,112072,
AR,325416,475171,69884,
CA,3828380,5119835,697847,
CO,691848,671152,99629,
CT,483109,735740,139523,
DE,99062,140355,28719,
DC,17339,158220,3611,
FL,2244536,2546870,483870,
GA,1080843,1053849,146337,
HI,113943,205012,27358,
ID,256595,165443,62518,
IL,1587021,2341744,346408,
IN,1006693,887424,224299,
IA,492644,620258,105159,
KS,583245,387659,92639,
KY,623283,636614,120396,
LA,712586,927837,123293,
ME,186378,312788,85970,
MD,681530,966207,115812,
MA,718107,1571763,227217,
MI,1481212,1989653,336670,
MN,766476,1120438,257704,
MS,439838,394022,52222,
MO,890016,1025935,217188,
MT,179652,167922,55229,
NE,363467,236761,71278,
NV,199244,203974,43986,
NH,196532,246214,48390,
NJ,1103078,1652329,262134,
NM,232751,273495,32257,
NY,1933492,3756177,503458,
NC,1225938,1107849,168059,
ND,125050,106905,32515,
OH,1859883,2148222,483207,
OK,582315,488105,130788,
OR,538152,649641,121221,
PA,1801169,2215819,430984,
RI,104683,233050,43723,
SC,573458,504051,64386,
SD,150543,139333,31250,
TN,863530,909146,105918,
TX,2736167,2459683,378537,
UT,361911,221633,66461,
VT,80352,137894,31024,
VA,1138350,1091060,159861,
WA,840712,1123323,201003,
WV,233946,327812,71639,
WI,845029,1071971,227339,
WY,105388,77934,25928,
