2000 US Presidential Election,Bush,Gore,Nader,
AL,944409,695602,18349,
AK,167398,79004,28747,
AZ,781652,685341,45645,
AR,472940,422768,13421,
CA,4567429,5861203,418707,
CO,883745,738227,91434,
CT,561094,816015,64452,
DE,137288,180068,8307,
DC,18073,171923,10576,
FL,2912790,2912253,97488,
GA,1419720,1116230,13432,
HI,137845,205286,21623,
ID,336937,138637,12292,
IL,2019421,2589026,103759,
IN,1245836,901980,18531,
IA,634373,638517,29374,
KS,622332,399276,36086,
KY,872492,638898,23192,
LA,927871,792344,20473,
ME,286616,319951,37127,
MD,813797,1145782,53768,
MA,878502,1616487,173564,
MI,1953139,2170418,84165,
MN,1109659,1168266,126696,
MS,573230,404964,8126,
MO,1189924,1111138,38515,
MT,240178,137126,24437,
NE,433862,231780,24540,
NV,301575,279978,15008,
NH,273559,266348,22198,
NJ,1284173,1788850,94554,
NM,286417,286783,21251,
NY,2405570,4113175,244390,
NC,1631163,1257692,0,
ND,174852,95284,9497,
OH,2351209,2186190,117857,
OK,744337,474276,0,
OR,713577,720342,77357,
PA,2281127,2485967,103392,
RI,130555,249508,25052,
SC,786426,566039,20279,
SD,190700,118804,0,
TN,1061949,981720,19781,
TX,3799639,2433746,137994,
UT,515096,203053,35850,
VT,119775,149022,20374,
VA,1437490,1217290,59398,
WA,1108864,1247652,103002,
WV,336475,295497,10680,
WI,1237279,1242987,94070,
WY,147947,60481,4625,
