2004 US Presidential Election,Bush,Kerry,Other,
AL,1176394,693933,13122,
AK,190889,111025,10684,
AZ,1104294,893524,18284,
AR,572898,469953,12094,
CA,5509826,6745485,166548,
CO,1101256,1001725,27344,
CT,693826,857488,27455,
DE,171660,200152,3458,
DC,21256,202970,3360,
FL,3964522,3583544,61744,
GA,1914254,1366149,24078,
HI,194191,231708,3114,
ID,409235,181098,8114,
IL,2345946,2891550,36826,
IN,1479438,969011,19553,
IA,751957,741898,13053,
KS,736456,434993,16307,
KY,1069439,712733,13907,
LA,1102169,820299,20638,
ME,330201,396842,13709,
MD,1024703,1334493,27482,
MA,1071109,1803800,37479,
MI,2313746,2479183,46323,
MN,1346695,1445014,36678,
MS,684981,458094,9290,
MO,1455713,1259171,16480,
MT,266063,173710,10672,
NE,512814,254328,11044,
NV,418690,397190,13707,
NH,331237,340511,5990,
NJ,1670003,1911430,30704,
NM,376930,370942,8432,
NY,2962567,4314280,115107,
NC,1961166,1525849,13992,
ND,196651,111052,5130,
OH,2859768,2741167,26973,
OK,959792,503966,0,
OR,866831,943163,26788,
PA,2793847,2938095,37648,
RI,169046,259760,8328,
SC,937974,661699,18057,
SD,232584,149244,6387,
TN,1383336,1035160,16453,
TX,4526917,2832704,51144,
UT,663742,241199,22903,
VT,121180,184067,7062,
VA,1716959,1454742,26666,
WA,1304894,1510201,46618,
WV,423778,326541,5568,
WI,1478120,1489504,29383,
WY,167629,70776,5023,
