2008 US Presidential Election,McCain,Obama,Other,
AL,1266546,813479,19794,
AK,193841,123594,8762,
AZ,1230111,1034707,39020,
AR,638017,422310,26290,
CA,5011781,8274473,296829,
CO,1073629,1288633,39200,
CT,629428,997773,19592,
DE,152374,255459,4783,
DC,17367,245800,2686,
FL,4046219,4282367,83662,
GA,2048759,1844123,39276,
HI,120566,325871,7131,
ID,403012,236440,19002,
IL,2031179,3419348,79652,
IN,1345648,1374039,36971,
IA,682379,828940,25804,
KS,699655,514765,24453,
KY,1048462,751985,27140,
LA,1148275,782989,29497,
ME,295273,421923,13967,
MD,959862,1629467,42267,
MA,1108854,1904098,68117,
MI,2048639,2872579,89388,
MN,1275409,1573354,61606,
MS,724597,554662,10680,
MO,1445814,1441911,41386,
MT,243882,232159,16709,
NE,452979,333319,14983,
NV,412827,533736,21285,
NH,316534,384826,9610,
NJ,1613207,2215422,48778,
NM,346832,472422,10904,
NY,2752771,4804945,83232,
NC,2128474,2142651,39664,
ND,168887,141403,7448,
OH,2677820,2940044,103967,
OK,960165,502496,0,
OR,738475,1037291,52098,
PA,2655885,3276363,83228,
RI,165391,296571,9804,
SC,1034896,862449,23624,
SD,203054,170924,7997,
TN,1479178,1087437,35367,
TX,4479328,3528633,79830,
UT,596030,327670,35296,
VT,98974,219262,6810,
VA,1725005,1959532,38723,
WA,1229216,1750848,73197,
WV,397466,303857,13800,
WI,1262393,1677211,43813,
WY,164958,82868,6832,
